#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
82376	853271	856052	33591	36125	YJL168C	YPL055C	SET2	LGE1	EZL1|histone methyltransferase SET2|KMT3|L000003090	-	Synthetic Lethality	genetic	Krogan NJ (2003)	12773564	559292	559292	Low Throughput|High Throughput	-	-	inviable	High Throughput: SGA analysis|Low Throughput: Interaction confirmed by tetrad analysis.	-	BIOGRID
165211	856052	851934	36125	32391	YPL055C	YDR334W	LGE1	SWR1	-	chromatin-remodeling protein SWR1|S000007447	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165212	851934	856052	32391	36125	YDR334W	YPL055C	SWR1	LGE1	chromatin-remodeling protein SWR1|S000007447	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165216	856052	852532	36125	32926	YPL055C	YBR231C	LGE1	SWC5	-	AOR1|L000004001	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165217	852532	856052	32926	36125	YBR231C	YPL055C	SWC5	LGE1	AOR1|L000004001	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165220	856052	852096	36125	32537	YPL055C	YDR485C	LGE1	VPS72	-	SWC2	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165221	852096	856052	32537	36125	YDR485C	YPL055C	VPS72	LGE1	SWC2	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165224	856052	854966	36125	35128	YPL055C	YML041C	LGE1	VPS71	-	SWC6	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165225	854966	856052	35128	36125	YML041C	YPL055C	VPS71	LGE1	SWC6	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165711	856847	856052	36856	36125	YER111C	YPL055C	SWI4	LGE1	ART1|SBF complex DNA-binding subunit SWI4|L000000124|L000002252	-	Synthetic Lethality	genetic	Jorgensen P (2002)	12089449	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166047	851962	856052	32415	36125	YDR359C	YPL055C	EAF1	LGE1	VID21	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166059	856490	856052	36525	36125	YHR090C	YPL055C	YNG2	LGE1	EAF4|NBN1|histone acetyltransferase YNG2|L000004452	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166084	851222	856052	31755	36125	YAL011W	YPL055C	SWC3	LGE1	SWC1	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166214	856052	851100	36125	31643	YPL055C	YLR384C	LGE1	IKI3	-	ELP1|KTI7|TOT1|Elongator subunit IKI3|L000003563	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166215	856052	853114	36125	33453	YPL055C	YGR200C	LGE1	ELP2	-	KTI3|TOT2|Elongator subunit ELP2	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166216	856052	856019	36125	36095	YPL055C	YPL086C	LGE1	ELP3	-	HPA1|KTI8|TOT3|Elongator subunit ELP3|KAT9|L000004378	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166217	856052	856002	36125	36079	YPL055C	YPL101W	LGE1	ELP4	-	HAP1|KTI9|TOT7|Elongator subunit ELP4	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166218	856052	855360	36125	35492	YPL055C	YMR312W	LGE1	ELP6	-	HAP3|KTI4|TOT6|Elongator subunit ELP6	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166219	856052	853271	36125	33591	YPL055C	YJL168C	LGE1	SET2	-	EZL1|histone methyltransferase SET2|KMT3|L000003090	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166220	856052	856847	36125	36856	YPL055C	YER111C	LGE1	SWI4	-	ART1|SBF complex DNA-binding subunit SWI4|L000000124|L000002252	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166221	856052	850879	36125	31453	YPL055C	YLR182W	LGE1	SWI6	-	PSL8|SDS11|transcriptional regulator SWI6|L000002254	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166222	856052	852532	36125	32926	YPL055C	YBR231C	LGE1	SWC5	-	AOR1|L000004001	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166223	856052	854966	36125	35128	YPL055C	YML041C	LGE1	VPS71	-	SWC6	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166224	856052	851934	36125	32391	YPL055C	YDR334W	LGE1	SWR1	-	chromatin-remodeling protein SWR1|S000007447	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166225	856052	852096	36125	32537	YPL055C	YDR485C	LGE1	VPS72	-	SWC2	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166226	856052	850774	36125	31358	YPL055C	YLR085C	LGE1	ARP6	-	L000003435	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166227	856052	851222	36125	31755	YPL055C	YAL011W	LGE1	SWC3	-	SWC1	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166228	856052	854150	36125	34392	YPL055C	YOL012C	LGE1	HTZ1	-	HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166229	856052	852839	36125	33205	YPL055C	YGL043W	LGE1	DST1	-	PPR2|SII|S-II|TFIIS|P37|L000001476|L000000530	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166230	856052	852810	36125	33178	YPL055C	YGL070C	LGE1	RPB9	-	SSU73|DNA-directed RNA polymerase II core subunit RPB9|B12.6|SHI|L000001683|L000001880	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166231	856052	853718	36125	33997	YPL055C	YKL139W	LGE1	CTK1	-	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166233	856052	850562	36125	31160	YPL055C	YFR010W	LGE1	UBP6	-	L000004586	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166234	856052	851542	36125	32035	YPL055C	YDL020C	LGE1	RPN4	-	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166235	856052	856607	36125	36634	YPL055C	YHR200W	LGE1	RPN10	-	MCB1|SUN1|proteasome regulatory particle base subunit RPN10|L000003108	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166236	856052	853036	36125	33383	YPL055C	YGR135W	LGE1	PRE9	-	proteasome core particle subunit alpha 3|L000002701	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166237	856052	851967	36125	32420	YPL055C	YDR363W-A	LGE1	SEM1	-	DSS1|HOD1|proteasome regulatory particle lid subunit SEM1|L000003539|L000004647	Synthetic Lethality	genetic	Xiao T (2005)	15632065	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166420	856648	856052	36668	36125	YEL061C	YPL055C	CIN8	LGE1	KSL2|SDS15|kinesin motor protein CIN8|L000000340	-	Synthetic Growth Defect	genetic	Pan X (2004)	15525520	559292	559292	High Throughput	-	-	vegetative growth	-	-	BIOGRID
167330	855144	856052	35293	36125	YMR117C	YPL055C	SPC24	LGE1	L000004694	-	Synthetic Growth Defect	genetic	Montpetit B (2005)	15998715	559292	559292	High Throughput	-	-	vegetative growth	-	-	BIOGRID
167564	854191	856052	34429	36125	YOR026W	YPL055C	BUB3	LGE1	PAC9|L000000198	-	Synthetic Lethality	genetic	Daniel JA (2006)	16157669	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
167622	850744	856052	31330	36125	YLR055C	YPL055C	SPT8	LGE1	SAGA complex subunit SPT8|L000002034	-	Synthetic Lethality	genetic	Ingvarsdottir K (2005)	15657441	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
167658	852001	856052	32454	36125	YDR392W	YPL055C	SPT3	LGE1	transcriptional regulator SPT3|L000002029	-	Synthetic Lethality	genetic	Ingvarsdottir K (2005)	15657441	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
181175	851485	856052	31987	36125	YDL074C	YPL055C	BRE1	LGE1	E3 ubiquitin-protein ligase BRE1	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
187323	856052	852547	36125	32940	YPL055C	YBR245C	LGE1	ISW1	-	SGN2|chromatin-remodeling ATPase ISW1|L000004447	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
196080	853667	856052	33952	36125	YKL213C	YPL055C	DOA1	LGE1	UFD3|ZZZ4|L000002961	-	Synthetic Growth Defect	genetic	Lis ET (2006)	16705165	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
202049	856052	856920	36125	36926	YPL055C	YER173W	LGE1	RAD24	-	RS1|L000001777	Phenotypic Enhancement	genetic	Hanway D (2002)	12149442	559292	559292	Low Throughput	-	-	UV resistance	Additive sensitivity to UV compared to single mutants	-	BIOGRID
202050	856052	851803	36125	32270	YPL055C	YDR217C	LGE1	RAD9	-	chromatin-binding protein RAD9|L000001562	Phenotypic Enhancement	genetic	Hanway D (2002)	12149442	559292	559292	Low Throughput	-	-	UV resistance	Additive sensitivity to UV compared to single mutants	-	BIOGRID
202051	856052	854976	36125	35137	YPL055C	YML032C	LGE1	RAD52	-	recombinase RAD52|L000001572	Phenotypic Enhancement	genetic	Hanway D (2002)	12149442	559292	559292	Low Throughput	-	-	UV resistance	Additive sensitivity to UV compared to single mutants	-	BIOGRID
202052	856052	855241	36125	35379	YPL055C	YMR201C	LGE1	RAD14	-	L000001564	Phenotypic Enhancement	genetic	Hanway D (2002)	12149442	559292	559292	Low Throughput	-	-	UV resistance	Additive sensitivity to UV compared to single mutants	-	BIOGRID
205472	853718	856052	33997	36125	YKL139W	YPL055C	CTK1	LGE1	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	-	Synthetic Growth Defect	genetic	Xiao T (2007)	17088384	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
205485	853450	856052	33750	36125	YJL006C	YPL055C	CTK2	LGE1	L000003011	-	Synthetic Growth Defect	genetic	Xiao T (2007)	17088384	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
213380	854230	856052	34463	36125	YOR064C	YPL055C	YNG1	LGE1	YOR29-15|S000007517	-	Synthetic Rescue	genetic	Martin DG (2006)	16923967	559292	559292	Low Throughput	-	-	viability:wild type	Deletion mutant rescues growth defect caused by overexpression of YNG1	-	BIOGRID
213400	856052	851934	36125	32391	YPL055C	YDR334W	LGE1	SWR1	-	chromatin-remodeling protein SWR1|S000007447	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-16.760566	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213450	856052	852532	36125	32926	YPL055C	YBR231C	LGE1	SWC5	-	AOR1|L000004001	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-14.810213	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213452	856052	850774	36125	31358	YPL055C	YLR085C	LGE1	ARP6	-	L000003435	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-14.756876	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213469	856052	856817	36125	36828	YPL055C	YER083C	LGE1	GET2	-	HUR2|RMD7	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-14.36103	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213537	856052	856847	36125	36856	YPL055C	YER111C	LGE1	SWI4	-	ART1|SBF complex DNA-binding subunit SWI4|L000000124|L000002252	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-13.363133	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213563	856052	850966	36125	31529	YPL055C	YLR262C	LGE1	YPT6	-	Rab family GTPase YPT6|L000002896|L000002948	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-13.128623	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213736	856052	850776	36125	31360	YPL055C	YLR087C	LGE1	CSF1	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-11.99234	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213765	856052	852096	36125	32537	YPL055C	YDR485C	LGE1	VPS72	-	SWC2	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-11.842815	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213773	856052	851705	36125	32183	YPL055C	YDR127W	LGE1	ARO1	-	pentafunctional protein ARO1p|L000000116	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-11.8133	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213818	856052	850973	36125	31536	YPL055C	YLR268W	LGE1	SEC22	-	SLY2|TS26|TSL26|SNAP receptor SEC22|L000001845|S000029606|L000002362	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-11.630134	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213986	856052	855626	36125	35726	YPL055C	YNL097C	LGE1	PHO23	-	L000004300	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.930478	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
213993	856052	851714	36125	32191	YPL055C	YDR137W	LGE1	RGP1	-	L000001628	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.893619	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214036	856052	853957	36125	34213	YPL055C	YKR082W	LGE1	NUP133	-	RAT3|L000002620	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.775018	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214123	856052	851222	36125	31755	YPL055C	YAL011W	LGE1	SWC3	-	SWC1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.492611	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214138	856052	852392	36125	32801	YPL055C	YBR095C	LGE1	RXT2	-	RAF60	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.451422	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214153	856052	855305	36125	35441	YPL055C	YMR263W	LGE1	SAP30	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.388905	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214157	856052	855616	36125	35717	YPL055C	YNL107W	LGE1	YAF9	-	S000007495	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.369933	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214228	856052	855029	36125	35186	YPL055C	YMR015C	LGE1	ERG5	-	CYP61|C-22 sterol desaturase|L000003978	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.15698	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214266	856052	852860	36125	33222	YPL055C	YGL025C	LGE1	PGD1	-	HRS1|MED3|L000000811|L000001408	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-10.035033	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214400	856052	856895	36125	36901	YPL055C	YER151C	LGE1	UBP3	-	BLM3|mRNA-binding ubiquitin-specific protease UBP3|L000002417|S000086717	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.5533	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214437	856052	854150	36125	34392	YPL055C	YOL012C	LGE1	HTZ1	-	HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.45533	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214484	856052	853271	36125	33591	YPL055C	YJL168C	LGE1	SET2	-	EZL1|histone methyltransferase SET2|KMT3|L000003090	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.323277	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214561	856052	854966	36125	35128	YPL055C	YML041C	LGE1	VPS71	-	SWC6	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.104424	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
214793	856052	854158	36125	34400	YPL055C	YOL004W	LGE1	SIN3	-	CPE1|GAM2|RPD1|SDI1|SDS16|UME4|transcriptional regulator SIN3|L000001695	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-8.531645	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
